Q0,Qx,Qy,Qz,Tx,Ty,Tz,Q0,Qx,Qy,Qz,Tx,Ty,Tz
0.8635251,-0.0252457,0.0668009,0.4992242,-1.028,0.539,-288.115,0.7243082,0.0212666,-0.0120381,-0.6890431,8.827,4.578,-161.773
0.8635944,-0.0249972,0.0671008,0.4990764,-1.105,0.566,-288.116,0.724245,0.0212682,-0.0120115,-0.6891099,8.824,4.58,-161.769
0.8626395,-0.0248208,0.0672555,0.5007132,-1.13,0.562,-288.133,0.7241264,0.0212144,-0.0120851,-0.689235,8.825,4.564,-161.763
0.8621301,-0.0250445,0.067137,0.5015945,-1.062,0.51,-288.105,0.7242479,0.0211867,-0.0120772,-0.6891083,8.82,4.564,-161.772
0.8630344,-0.0253202,0.0671225,0.5000251,-1.057,0.481,-288.09,0.7244198,0.0212823,-0.0120162,-0.6889257,8.824,4.579,-161.777
0.862469,-0.0252508,0.0670213,0.5010167,-1.018,0.488,-288.12,0.7242623,0.021329,-0.0120022,-0.6890901,8.825,4.582,-161.78
0.8615388,-0.0250856,0.0670369,0.5026207,-1.001,0.488,-288.126,0.7242204,0.0213506,-0.0120252,-0.6891331,8.829,4.581,-161.781
0.8622897,-0.0251549,0.0673002,0.5012927,-1.064,0.468,-288.125,0.72408,0.0214089,-0.0119653,-0.6892798,8.83,4.59,-161.777
0.8631927,-0.0254063,0.0673386,0.4997184,-1.082,0.445,-288.092,0.7242106,0.0214023,-0.0119824,-0.6891425,8.831,4.588,-161.773
0.8633611,-0.0254777,0.0671604,0.4994476,-1.052,0.451,-288.078,0.7241478,0.0213826,-0.0120101,-0.6892086,8.831,4.583,-161.773
0.8626936,-0.0253639,0.0672398,0.5005948,-1.061,0.452,-288.045,0.7243908,0.021411,-0.0120458,-0.6889517,8.836,4.584,-161.773
0.8632722,-0.0252213,0.0670248,0.4996326,-1.039,0.505,-288.053,0.7243939,0.0213917,-0.0120995,-0.6889481,8.837,4.575,-161.776
0.8636689,-0.0252212,0.066975,0.4989532,-1.034,0.505,-288.092,0.724195,0.021446,-0.0120415,-0.6891565,8.835,4.576,-161.778
0.864452,-0.0251524,0.0668503,0.4976154,-1.046,0.554,-288.086,0.7242439,0.0215073,-0.0120264,-0.6891035,8.84,4.575,-161.773
0.8638886,-0.0252486,0.0669065,0.4985804,-1.059,0.536,-288.068,0.7244993,0.0214209,-0.0120602,-0.688837,8.838,4.564,-161.77
0.8638905,-0.0254989,0.0667638,0.4985836,-1.01,0.517,-288.074,0.7242721,0.021474,-0.0119923,-0.6890754,8.837,4.57,-161.765
0.8627843,-0.0252754,0.0671224,0.5004587,-1.067,0.501,-288.114,0.7243202,0.0214493,-0.0120046,-0.6890255,8.837,4.563,-161.764
0.862007,-0.0250942,0.0670557,0.5018144,-1.027,0.51,-288.111,0.7245889,0.0213504,-0.0120448,-0.6887452,8.834,4.546,-161.763
0.8626811,-0.0250388,0.067037,0.50066,-1.038,0.522,-288.077,0.7241694,0.0214148,-0.0119352,-0.6891862,8.834,4.552,-161.769
0.8626239,-0.0252717,0.0669785,0.5007546,-0.998,0.486,-288.1,0.7244264,0.0214915,-0.0118522,-0.6889151,8.837,4.563,-161.763
0.8628722,-0.0254,0.066515,0.5003821,-0.898,0.507,-288.109,0.7244205,0.0215421,-0.0117864,-0.6889208,8.838,4.564,-161.761
0.8617181,-0.0253406,0.0668538,0.5023249,-0.956,0.464,-288.156,0.7244479,0.0215957,-0.0117482,-0.688891,8.845,4.575,-161.762
0.8615056,-0.0253835,0.06682,0.5026917,-0.961,0.464,-288.166,0.7243909,0.0215749,-0.011773,-0.6889512,8.851,4.576,-161.757
0.8606144,-0.0251789,0.0670344,0.5041977,-0.98,0.443,-288.166,0.7240903,0.0216624,-0.0117034,-0.6892655,8.854,4.592,-161.748
0.8623449,-0.0251612,0.0667638,0.5012692,-0.965,0.494,-288.073,0.7241567,0.0216754,-0.0117036,-0.6891954,8.858,4.597,-161.746
0.8626179,-0.0255568,0.0669179,0.5007586,-0.943,0.419,-288.042,0.7241072,0.0216674,-0.0117012,-0.6892477,8.861,4.603,-161.744
0.8635919,-0.0259094,0.0666861,0.4990899,-0.902,0.414,-287.983,0.7239967,0.0215851,-0.0117721,-0.6893652,8.865,4.598,-161.741
0.8641274,-0.0258921,0.0668434,0.498142,-0.975,0.427,-287.995,0.7238728,0.021663,-0.0118027,-0.6894923,8.875,4.607,-161.742
0.8638523,-0.0255203,0.0666978,0.4986575,-0.991,0.494,-288.077,0.7234751,0.0217389,-0.0117773,-0.6899076,8.879,4.618,-161.739
0.8630457,-0.0252057,0.0669002,0.5000412,-1.047,0.495,-288.085,0.7238741,0.0217477,-0.0117088,-0.6894898,8.878,4.635,-161.747
0.8621048,-0.0250216,0.0671838,0.501633,-1.083,0.492,-288.093,0.7240024,0.0216312,-0.0117732,-0.6893577,8.878,4.632,-161.737
0.8638974,-0.0256706,0.0671887,0.4985057,-1.045,0.431,-288.043,0.7241965,0.0216134,-0.0117228,-0.6891552,8.878,4.639,-161.732
0.8628645,-0.0255017,0.0673949,0.5002724,-1.057,0.426,-288.088,0.7240218,0.0215127,-0.0117716,-0.6893411,8.879,4.629,-161.736
0.8612086,-0.0256095,0.0679718,0.5030346,-1.12,0.319,-288.158,0.7240124,0.0214672,-0.0117725,-0.6893523,8.876,4.634,-161.75
0.8612776,-0.0256021,0.0684806,0.5028478,-1.225,0.286,-288.264,0.7243099,0.0214509,-0.0118155,-0.6890395,8.883,4.637,-161.74
0.8623889,-0.0252664,0.0681006,0.5010082,-1.234,0.391,-288.232,0.7240627,0.0215702,-0.011783,-0.6892961,8.891,4.65,-161.737
0.8612944,-0.0249192,0.0678906,0.5029332,-1.16,0.418,-288.16,0.724291,0.0214864,-0.0117925,-0.6890587,8.89,4.646,-161.741
0.8616812,-0.024906,0.0677363,0.5022918,-1.115,0.443,-288.104,0.7242247,0.0214863,-0.0117169,-0.6891296,8.889,4.66,-161.732
0.8620423,-0.0251853,0.0678238,0.501646,-1.117,0.423,-288.077,0.7242964,0.0214352,-0.0118137,-0.6890542,8.895,4.659,-161.729
0.8619166,-0.0251733,0.0677908,0.501867,-1.096,0.463,-288.112,0.7242226,0.0214432,-0.011888,-0.6891302,8.906,4.664,-161.728
0.8616515,-0.0249893,0.0677812,0.5023325,-1.118,0.493,-288.102,0.7239424,0.021427,-0.0118593,-0.6894256,8.903,4.674,-161.731
0.8629468,-0.0251625,0.0674963,0.5001338,-1.081,0.488,-288.085,0.7240319,0.0212886,-0.011999,-0.6893335,8.899,4.659,-161.742
0.8623042,-0.0246561,0.0673774,0.5012823,-1.081,0.561,-288.01,0.7241734,0.0213138,-0.011987,-0.6891843,8.901,4.674,-161.736
0.8630395,-0.0247232,0.067216,0.5000336,-1.051,0.579,-288.015,0.7242619,0.0212534,-0.0120293,-0.6890923,8.904,4.677,-161.735
0.8646903,-0.0248609,0.0666903,0.4972375,-0.98,0.662,-287.996,0.7241744,0.0211233,-0.0120139,-0.6891886,8.888,4.678,-161.752
0.8641424,-0.0251157,0.0668787,0.498151,-0.981,0.601,-288.087,0.7243471,0.0210461,-0.0121327,-0.6890074,8.892,4.677,-161.772
0.864144,-0.0251449,0.0670707,0.4981208,-1.04,0.595,-288.136,0.7245222,0.0209233,-0.0122005,-0.6888258,8.884,4.676,-161.78
0.863907,-0.0252974,0.0672161,0.4985044,-1.06,0.557,-288.167,0.7243451,0.0208505,-0.0122663,-0.6890131,8.879,4.674,-161.785
0.8627015,-0.0246215,0.0672115,0.5006221,-1.081,0.655,-288.164,0.7243078,0.0206729,-0.01234,-0.6890563,8.868,4.662,-161.798
0.8624794,-0.0245973,0.0674767,0.5009703,-1.109,0.604,-288.15,0.7243676,0.0205875,-0.0123538,-0.6889957,8.859,4.659,-161.796
0.8620845,-0.024409,0.0678105,0.5016137,-1.161,0.589,-288.18,0.724299,0.0205826,-0.0124044,-0.689067,8.866,4.662,-161.802
0.8623465,-0.0244039,0.0679581,0.5011434,-1.22,0.606,-288.175,0.7245431,0.0204408,-0.0123688,-0.6888153,8.855,4.672,-161.798
0.8623213,-0.0250928,0.067656,0.5011936,-1.098,0.528,-288.152,0.7244214,0.0204687,-0.0125094,-0.6889399,8.87,4.674,-161.805
0.8619954,-0.0253007,0.0674984,0.5017647,-1.064,0.504,-288.116,0.7242438,0.0204188,-0.0126253,-0.689126,8.868,4.669,-161.806
0.8623243,-0.0250551,0.0676096,0.5011965,-1.098,0.537,-288.095,0.7242546,0.0203615,-0.0127336,-0.6891143,8.876,4.676,-161.803
0.8623792,-0.0246931,0.067682,0.5011104,-1.144,0.579,-288.065,0.7245147,0.0202488,-0.0126874,-0.688845,8.864,4.687,-161.8
0.8607621,-0.0244745,0.0677992,0.5038779,-1.117,0.557,-288.051,0.7244674,0.0203045,-0.0127317,-0.6888923,8.871,4.708,-161.794
0.8617152,-0.0248332,0.0676319,0.5022511,-1.077,0.545,-288.039,0.7242402,0.0202641,-0.0127866,-0.6891313,8.88,4.726,-161.794
0.8629561,-0.0251013,0.0675553,0.500113,-1.071,0.543,-288.048,0.7246384,0.0201648,-0.0128363,-0.6887146,8.883,4.747,-161.78
0.8636638,-0.0256007,0.0672759,0.4989021,-1.003,0.515,-288.055,0.7243203,0.0201343,-0.0128909,-0.689049,8.887,4.769,-161.788
0.8631087,-0.0256084,0.0672337,0.4998671,-0.978,0.519,-288.03,0.7243859,0.0200957,-0.0129292,-0.6889805,8.888,4.795,-161.778
0.8622519,-0.0255567,0.0669978,0.501378,-0.899,0.531,-288.001,0.7242958,0.0200616,-0.013076,-0.6890734,8.905,4.809,-161.774
0.8621158,-0.0255413,0.0669283,0.5016219,-0.861,0.537,-288.007,0.724532,0.0199007,-0.0130555,-0.6888301,8.894,4.829,-161.765
0.8632005,-0.0254618,0.066843,0.4997686,-0.865,0.592,-287.998,0.7242936,0.0197817,-0.0130904,-0.6890835,8.894,4.846,-161.757
0.8634785,-0.0257575,0.0666948,0.4992927,-0.803,0.565,-288.026,0.7243325,0.0197816,-0.0130507,-0.6890434,8.9,4.874,-161.75
0.8634373,-0.0259628,0.0666851,0.4993546,-0.799,0.551,-288.038,0.7243033,0.0197506,-0.0131439,-0.6890732,8.913,4.894,-161.746
0.8620693,-0.0256977,0.0670349,0.5016797,-0.863,0.56,-288.034,0.7244252,0.0196888,-0.0132256,-0.6889453,8.92,4.912,-161.742
0.8621083,-0.0257,0.0672421,0.5015847,-0.914,0.547,-288.047,0.7241648,0.0195843,-0.0133048,-0.6892205,8.913,4.925,-161.743
0.8621419,-0.0257314,0.0671987,0.5015312,-0.88,0.549,-288.033,0.7239087,0.0195375,-0.0133699,-0.6894894,8.921,4.948,-161.747
0.8618188,-0.0257289,0.066933,0.5021218,-0.788,0.549,-288.074,0.724247,0.0194693,-0.0133906,-0.6891356,8.918,4.977,-161.736
0.8629272,-0.0259063,0.0668073,0.5002222,-0.78,0.549,-288.11,0.7241713,0.0193861,-0.0136019,-0.6892134,8.93,4.994,-161.748
0.8617367,-0.0256996,0.0675968,0.5021753,-0.943,0.485,-288.148,0.7241827,0.0192052,-0.0136756,-0.689205,8.919,5.022,-161.746
0.8611008,-0.0255855,0.0679378,0.5032249,-1.009,0.464,-288.188,0.7241754,0.0190821,-0.0138719,-0.6892122,8.922,5.051,-161.757
0.8610351,-0.0256388,0.0681482,0.5033061,-1.059,0.442,-288.185,0.7239873,0.0189108,-0.0140471,-0.6894109,8.916,5.087,-161.77
0.8609652,-0.0256899,0.0685329,0.5033708,-1.145,0.415,-288.204,0.7240704,0.0188233,-0.0142387,-0.6893221,8.925,5.141,-161.766
0.8614325,-0.025347,0.0682212,0.5026306,-1.132,0.52,-288.187,0.7238681,0.0186747,-0.0144388,-0.6895344,8.927,5.184,-161.766
